소재지전체주소,사업장명,업태구분명,latitude,longitude
서울 서초구 신반포로11길 40 한강공원 반포 안내센터,반포 한강공원,시민공원,37.5076669,126.9927035
서울 영등포구 여의도동 여의공원로 68 여의도공원관리사무소,여의도공원,근린공원,37.5254157,126.9215157
서울 종로구 옥인동 185-3,수성동계곡,계곡,37.5822317,126.9631477
서울 관악구 낙성대로 77 낙성대공원,낙성대공원,"도시,테마공원",37.4711007,126.95999
서울 마포구 마포나루길 467 한강공원망원지구사무소,망원 한강공원,시민공원,37.55256190000001,126.8994384
서울 용산구 서빙고로 137 국립중앙박물관,용산가족공원,근린공원,37.5238506,126.9804702
서울 송파구 잠실동,석촌호수,"호수,연못,저수지",37.5067945,127.0830482
서울 구로구 서해안로 2117,푸른수목원,"식물원,수목원",37.481586,126.8239705
서울 종로구 부암동 115,백사실계곡,계곡,37.6004199,126.9663297
서울 서초구 매헌로 99,매헌시민의숲,자연공원,37.4710677,127.035758
서울 중랑구 묵동 375,중랑장미공원,근린공원,37.6154657,127.0734674
서울 마포구 하늘공원로 86,월드컵공원,테마공원,37.570908,126.8784506
서울 종로구 창신동,청계천,"강,하천",37.5754116,127.0124487
서울 노원구 상계동,벽운계곡,계곡,37.67299089999999,127.0703498
서울 종로구 종로 99 탑골공원,탑골공원,근린공원,37.5711455,126.9883295
서울 중구 동호로 257-10,장충단공원,"도시,테마공원",37.5576772,127.0040569
서울 영등포구 문래동3가 61,문래근린공원,근린공원,37.5164649,126.8940199
서울 서초구 반포동 산59-1,몽마르뜨공원,"도시,테마공원",37.4964768,127.0040419
서울 양천구 목동동로 363 파리공원,파리공원,"도시,테마공원",37.5344362,126.8771392
서울 용산구 이태원동 259-16,남산야외식물원,"식물원,수목원",37.5429699,126.9945882
서울 강동구 둔촌동 산86,일자산허브천문공원,테마공원,37.5372983,127.1541919
서울 중랑구 망우로91길 2,망우 역사 문화공원,테마공원,37.5970852,127.114734
서울 동작구 여의대방로20길 33,보라매공원,근린공원,37.4926778,126.919139
서울 양천구 목동동로 111,양천공원,근린공원,37.5180111,126.8681628
서울 서대문구 봉원동 산1,안산자락길,산책로,37.5756089,126.9462275
서울 강북구 삼양로 561 솔밭공원 관리실및화장실,솔밭근린공원,근린공원,37.6529618,127.0122387
서울 동대문구 회기로 57,홍릉시험림(홍릉숲),"식물원,수목원",37.5933135,127.0438455
서울 종로구 종로6가 70,흥인지문공원,근린공원,37.57232,127.0088744
서울 송파구 올림픽로 44,아시아공원,근린공원,37.5102687,127.0763977
서울 영등포구 여의도동 49,여의도 샛강생태공원,"자연,생태공원",37.5171571,126.9239975
서울 강남구 도산대로45길 20 도산전시관,도산공원,테마공원,37.5244813,127.0353667
서울 마포구 하늘공원로 108-2,노을공원,"도시,테마공원",37.570908,126.8784506
서울 구로구 고척로45길 39 구로구민체육센터,고척근린공원,근린공원,37.5059325,126.8520068
서울 강북구 우이동,북한산둘레길,도보코스,37.6572676,127.003039
서울 도봉구 창동 677,초안산근린공원,근린공원,37.6489986,127.0402796
서울 성북구 화랑로13길 144,오동공원,"도시,테마공원",37.6095786,127.0415016
서울 강서구 방화동 2-32,강서 한강공원,시민공원,37.5877966,126.815224
서울 성북구 종암동,개운산,"산,고개",37.5971752,127.0338975
서울 중구 삼일대로 231,남산공원,"도시,테마공원",37.5558947,126.9920209
서울 강남구 개포동,대모산,"산,고개",37.4802905,127.0626272
서울 종로구 삼청로 156 삼청공원관리실,삼청공원,근린공원,37.5927087,126.9817876
서울 강남구 대치동,양재천,"강,하천",37.4991887,127.0633458
서울 마포구 당인동 1,마포새빛문화숲,근린공원,37.5441022,126.9191372
서울 강서구 금낭화로 176 방화근린공원관리사무소,방화근린공원,근린공원,37.5816727,126.8131849
서울 도봉구 시루봉로6길 33,발바닥공원,"도시,테마공원",37.6597775,127.0311666
서울 종로구 와룡공원길 192,와룡공원,"도시,테마공원",37.5893435,126.9892831
서울 중구 손기정로 101-4 손기정공원,손기정체육공원,"도시,테마공원",37.5559206,126.9651582
서울 중랑구 신내동 602-1,봉수대공원,근린공원,37.6074055,127.0923253
서울 중구 회현동1가,남산,"산,고개",37.5565076,126.9815177
서울 마포구 연남동,경의선숲길공원,근린공원,37.5627439,126.9214088
서울 양천구 중앙로17길 26,계남근린공원,근린공원,37.5098812,126.856723
서울 송파구 오금로 363 오금근린공원,오금공원,"도시,테마공원",37.50042200000001,127.1333182
서울 마포구 월드컵로 365,난지천공원,"도시,테마공원",37.5711557,126.8873916
서울 강서구 공항대로42길 51-22 강서청소년회관,우장산공원,근린공원,37.55645,126.844233
서울 중구 칠패로 5 서소문공원,서소문역사공원,근린공원,37.560672,126.9694163
서울 용산구 남산공원길 105,남산둘레길,도보코스,37.5489419,126.9894041
서울 서초구 양재동 261-23,양재천근린공원,근린공원,37.4766235,127.0415081
서울 성동구 독서당로63길 60,대현산 장미원,근린공원,37.5531369,127.0283666
서울 서대문구 봉원동,서대문 안산,"산,고개",37.5726311,126.9469255
서울 은평구 불광동 산6-4,북한산둘레길8구간(구름정원길),도보코스,37.6252948,126.9327923
서울 중랑구 중화동,중랑천,"강,하천",37.6005095,127.0781428
서울 서초구 바우뫼로12길 40 서초문화예술공원,서초문화예술공원,"도시,테마공원",37.4677012,127.0308217
서울 서초구 서초동 1005-6,서리풀공원,근린공원,37.48901439999999,127.0026964
서울 강동구 암사동  616-1,광나루한강공원암사생태공원,"자연,생태공원",37.5554605,127.1225833
서울 강서구 방화동 2-15,강서한강공원강서습지생태공원,"자연,생태공원",37.5865678,126.818674
서울 서초구 양재동 산46-2,말죽거리공원,근린공원,37.4769163,127.0336784
서울 영등포구 국회대로22길 20,양평유수지생태공원,"자연,생태공원",37.5289247,126.890197
서울 서초구 서운로21길 14,명달공원,근린공원,37.4984325,127.0214838
서울 서대문구 북가좌동,불광천,"강,하천",37.5787976,126.9111852
서울 노원구 중계동 산38-1,서울둘레길1코스,도보코스,37.6574885,127.0820457
서울 동작구 사당로23길 93 삼일(3~1)공원,삼일공원,"도시,테마공원",37.48586,126.9745425
서울 강남구 청담동 66,청담근린공원,근린공원,37.5213572,127.0517886
서울 마포구 대흥동 325-82,경의선공원,근린공원,37.5462474,126.9433147
서울 도봉구 도봉산길 86,북한산둘레길18구간(도봉옛길),도보코스,37.6874303,127.0344916
서울 강서구 화곡동,우장산,"산,고개",37.5406979,126.8472722
서울 강동구 고덕동 379-3,고덕수변생태공원,"자연,생태공원",37.569923,127.1556064
서울 성동구 성수동1가 656-40,송정제방공원,근린공원,37.55187129999999,127.0462905
서울 서초구 방배동 산75-6,도구머리공원,근린공원,37.4797744,126.988577
서울 서대문구 홍은동 산11-279,백련근린공원,근린공원,37.5962429,126.9341727
서울 성동구 난계로 61-46,대현산배수지공원,근린공원,37.557572,127.0230219
서울 강북구 삼양로159길 60-7,북한산둘레길1구간(소나무숲길),도보코스,37.6591883,127.0094819
서울 금천구 독산동,독산자연공원,"자연,생태공원",37.4674733,126.8982935
서울 은평구 진관동 132-28,북한산둘레길9구간(마실길),도보코스,37.6425632,126.9411781
서울 노원구 중계동 산45,불암산철쭉동산,"도시,테마공원",37.6539826,127.0793002
서울 강북구 4.19로12길 60-93,북한산둘레길2구간(순례길),도보코스,37.6372691,126.9969894
서울 송파구 잠실로 148,석촌호수(서호),"호수,연못,저수지",37.5124523,127.0960483
서울 구로구 구로동 621-8,서울둘레길6코스,도보코스,37.4999375,126.8705241
서울 중랑구 묵동,봉화산,"산,고개",37.612732,127.0797858
서울 도봉구 창동  산192,초안산하늘꽃정원,근린공원,37.642685,127.0425592
서울 서대문구 연희동,안산벚꽃길,"거리,골목",37.5715365,126.9309364
서울 성북구 상월곡동,천장산,"산,고개",37.6060997,127.0478098
서울 성동구 연무장5길 9-26,성수동구두테마공원,"도시,테마공원",37.5448127,127.0524218
서울 동대문구 장안동,중랑천벚꽃길,"거리,골목",37.570207,127.0700249
서울 중랑구 신내동 산136-1,봉화산근린공원,근린공원,37.6110318,127.0923935
서울 은평구 진관동,이말산,"산,고개",37.6412799,126.9341722
서울 송파구 송파동 169,송이공원,"도시,테마공원",37.5012994,127.1188981
서울 강서구 허준로 221-40,황금내근린공원,근린공원,37.5617114,126.864444
서울 영등포구 양평동,안양천제방벚꽃길,"거리,골목",37.537704,126.8889568
서울 은평구 구산동 산36,거북골근린공원,근린공원,37.6102525,126.9078366
서울 강서구 염창동,증미산,"산,고개",37.5527315,126.8707482
서울 강서구 강서로80길 117,공암나루근린공원,근린공원,37.5698967,126.8503438
서울 금천구 호암로 192,호암늘솔길,산책로,37.4475441,126.9233976
서울 구로구 신도림동  282-38,안양천 생태초화원,"자연,생태공원",37.5120815,126.8763027
서울 관악구 신림동,도림천,하천,37.4631968,126.9358124
서울 양천구 목동,용왕산,산,37.5360367,126.8745334
서울 강북구 수유동 650-2,우이천,하천,37.6485822,127.0182491
서울 노원구 중계동,당현천,하천,37.6510125,127.0799977
서울 서대문구 연희동,연희숲속쉼터,공원,37.5715365,126.9309364
서울 성북구 동선동2가,성북천,하천,37.5901786,127.0200216
서울 은평구 응암동,불광천,하천,37.5938352,126.9231281
서울 송파구 마천동,성내천,하천,37.4984934,127.1527443
서울 성동구 성수동1가,중랑천,하천,37.5436099,127.0428194
서울 중구 회현동1가,남산산책로,등산로,37.5565076,126.9815177
서울 서초구 양재동 233,여의천,하천,37.4692915,127.0382031
서울 영등포구 문래동5가,도림천,하천,37.5166359,126.883964
서울 서초구 반포동,반포천,하천,37.5039744,127.0007494
서울 강남구 대치동 10,양재천,하천,37.4961775,127.0735895
서울 서초구 양재동 126,양재천,하천,37.4684007,127.0302942
